area_type,availability,location,size,society,total_sqft,bath,balcony,price,imagePath,email,address,contact_number
Built-up  Area,Ready To Move,Koramangala,4 BHK,No Society,2700,4,3,450,/House_Pics/73.jpg,qtwquoss@tfskz.com,97  Park Avenue  whitefield  Bangalore - 560066,8477997538
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Teilsaf,1100,2,1,70,/House_Pics/74.jpg,ipdmgjro@cpkar.com,79  First Avenue  electroniccity  Bangalore - 560100,9151650911
Plot  Area,Immediate Possession,Devanahalli,,Ajleyor,1500,0,0,46.8,/House_Pics/75.jpg,qmfbfzma@tmdgp.com,18  Elm Street  mekhricircle  Bangalore - 560006,9407729451
Plot  Area,Ready To Move,BTM 2nd Stage,4 Bedroom,No Society,1500,2,1,450,/House_Pics/76.jpg,eccyvfvq@tvrwq.com,86  Park Avenue  btm  Bangalore - 560076,9542834284
Plot  Area,Ready To Move,Singasandra,4 Bedroom,No Society,525,5,2,56,/House_Pics/77.jpg,zujkkymm@cfouh.com,30  Second Road  whitefield  Bangalore - 560066,8818254540
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,GaicaVe,1015,2,1,56,/House_Pics/78.jpg,hugzegli@nchjw.com,8  First Avenue  electroniccity  Bangalore - 560100,8722466825
Plot  Area,Ready To Move,Gottigere,1 Bedroom,No Society,812,1,0,26,/House_Pics/79.jpg,mgljgfaa@yknwv.com,63  Second Road  electroniccity  Bangalore - 560100,9802744290
Built-up  Area,Ready To Move,Narayana Nagar 1st Block,3 BHK,No Society,1360,2,2,65,/House_Pics/80.jpg,drdwejic@wdsmc.com,1  Second Road  electroniccity  Bangalore - 560100,9380280477
Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,Ceste C,2167,3,3,170,/House_Pics/81.jpg,wigxklvt@puxqz.com,37  Second Road  electroniccity  Bangalore - 560100,8826625188
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,No Society,1200,2,1,35,/House_Pics/0.jpg,qbrteitm@tvaoq.com,56  Elm Street  whitefield  Bangalore - 560066,8895190269
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,MJarlPe,1165,2,2,75,/House_Pics/1.jpg,lococegg@ewuvd.com,99  Elm Street  electroniccity  Bangalore - 560100,9178802658
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,NDclenn,1274,2,2,70,/House_Pics/2.jpg,ksnclgzt@jatxx.com,50  Elm Street  btm  Bangalore - 560076,9938805196
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1151,2,2,39.02,/House_Pics/3.jpg,rbfkupoq@jxiqv.com,64  Main Street  mekhricircle  Bangalore - 560006,8288245082
Plot  Area,Ready To Move,Vidyaranyapura,6 Bedroom,No Society,1060,6,3,110,/House_Pics/4.jpg,fpdmqdbg@mcejs.com,60  Elm Street  btm  Bangalore - 560076,9229343218
Super built-up  Area,Ready To Move,Thubarahalli,3 BHK,ShdhiSa,1626,2,2,120,/House_Pics/5.jpg,ohzfzfxu@vqkuf.com,46  Main Street  hebbal  Bangalore - 560024,8764854833
Super built-up  Area,Ready To Move,Banashankari Stage V,2 BHK,No Society,1035,2,2,35.77,/House_Pics/6.jpg,vlwenfho@zczns.com,55  Elm Street  whitefield  Bangalore - 560066,9056917824
Plot  Area,Ready To Move,Shanthi Layout,3 Bedroom,No Society,1272,4,0,75,/House_Pics/7.jpg,vrdtvjee@rdqqy.com,12  Elm Street  yelahanka  Bangalore - 560064,8241289418
Built-up  Area,Ready To Move,Jeevan bima nagar,2 BHK,No Society,965,2,1,45,/House_Pics/8.jpg,uujfqdtd@saqbd.com,14  Second Road  yelahanka  Bangalore - 560064,9674479843
Plot  Area,Ready To Move,Esther Enclave Layout,5 Bedroom,No Society,1600,5,2,140,/House_Pics/9.jpg,xynrkdqw@cifnw.com,51  Second Road  mekhricircle  Bangalore - 560006,9550175254
Super built-up  Area,Ready To Move,Kothannur,2 BHK,No Society,1070,2,1,42.79,/House_Pics/10.jpg,tbobakqk@bcgdc.com,17  First Avenue  yelahanka  Bangalore - 560064,8732061991
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Spensas,1570,2,2,65,/House_Pics/11.jpg,yjnturry@katux.com,42  Park Avenue  whitefield  Bangalore - 560066,8178512259
Built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,117,2,2,38,/House_Pics/12.jpg,hhlaizgj@lrwlb.com,58  Park Avenue  whitefield  Bangalore - 560066,8436518722
Super built-up  Area,Ready To Move,Keerthi Layout,2 BHK,NianaKe,780,2,2,25,/House_Pics/13.jpg,demrhssv@dcmcb.com,49  Second Road  electroniccity  Bangalore - 560100,8225339394
Super built-up  Area,Ready To Move,Ganga Nagar Extension,3 BHK,No Society,1000,2,1,65,/House_Pics/14.jpg,qxajozxs@uixvq.com,60  Main Street  whitefield  Bangalore - 560066,8987842260
Plot  Area,Ready To Move,9th Phase JP Nagar,4 Bedroom,No Society,1200,3,2,188,/House_Pics/15.jpg,ilygtdjb@ezqnl.com,85  Second Road  hebbal  Bangalore - 560024,9393959130
Built-up  Area,Ready To Move,Tindlu,7 Bedroom,No Society,7500,7,2,400,/House_Pics/16.jpg,tzxqwxyv@mjasn.com,52  Park Avenue  btm  Bangalore - 560076,8186359151
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,No Society,1700,2,3,100,/House_Pics/17.jpg,sfykwmgj@gpqfn.com,42  Main Street  yelahanka  Bangalore - 560064,9044657946
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,RBersll,1850,3,0,110,/House_Pics/18.jpg,mqkthzhf@ktzkz.com,16  Park Avenue  electroniccity  Bangalore - 560100,9588805226
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,DSdorSp,904,2,1,30,/House_Pics/19.jpg,pxwtpjmz@wwoaw.com,69  Main Street  yelahanka  Bangalore - 560064,8632697737
Super built-up  Area,Ready To Move,Shikaripalya,2 BHK,ALtonea,1121,2,1,43.72,/House_Pics/20.jpg,gwproaju@oaheu.com,83  First Avenue  btm  Bangalore - 560076,8063333598
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Vasta C,1385,2,2,58.17,/House_Pics/21.jpg,jdesrihm@ezful.com,13  First Avenue  yelahanka  Bangalore - 560064,9877891282
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,Rauil T,1270,2,1,69.85,/House_Pics/22.jpg,ottbznny@osnoj.com,7  Main Street  hebbal  Bangalore - 560024,8863986580
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3,3,56,/House_Pics/23.jpg,sebkccue@yaoth.com,48  Park Avenue  electroniccity  Bangalore - 560100,9851063184
Plot  Area,Ready To Move,Huttanahalli,3 Bedroom,No Society,2400,4,2,325,/House_Pics/24.jpg,oytlglsz@gmaak.com,66  Second Road  hebbal  Bangalore - 560024,8494743796
Super built-up  Area,Ready To Move,Mahadevpura,1 BHK,No Society,730,1,1,35,/House_Pics/25.jpg,hdtuykts@wecuj.com,47  Elm Street  hebbal  Bangalore - 560024,9679839818
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1580,3,3,53.56,/House_Pics/26.jpg,zqynhabe@mwket.com,11  Second Road  yelahanka  Bangalore - 560064,9260263104
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Teire G,1111,2,1,50,/House_Pics/27.jpg,mhydekdn@qhvfz.com,4  Park Avenue  electroniccity  Bangalore - 560100,8855227613
Plot  Area,Ready To Move,Kengeri,4 Bedroom,No Society,1125,2,1,88,/House_Pics/28.jpg,zbowtbau@lyqcc.com,38  Second Road  whitefield  Bangalore - 560066,8945281230
Super built-up  Area,Ready To Move,Varthur,2 BHK,Maine J,977,2,2,36,/House_Pics/29.jpg,biurvpzx@wgrts.com,25  Second Road  yelahanka  Bangalore - 560064,8668270201
Super built-up  Area,18-Dec,Gunjur Palya,2 BHK,No Society,674,1,1,19.9,/House_Pics/30.jpg,gezoiytm@ixkqy.com,90  Elm Street  hebbal  Bangalore - 560024,8992215162
Plot  Area,18-Apr,Nagarbhavi,3 Bedroom,No Society,600,3,1,83,/House_Pics/31.jpg,qhabiawj@crebj.com,100  First Avenue  btm  Bangalore - 560076,8903451922
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Puodsm ,2540,4,1,115,/House_Pics/32.jpg,rleoevca@qkxav.com,91  Park Avenue  mekhricircle  Bangalore - 560006,8288937392
Super built-up  Area,17-Dec,Jakkur,2 BHK,BrdgeNo,1290,2,1,100,/House_Pics/33.jpg,lgugauan@xsqas.com,97  First Avenue  electroniccity  Bangalore - 560100,8852946627
Plot  Area,Ready To Move,Kumaraswami Layout,3 Bedroom,No Society,600,3,1,98,/House_Pics/34.jpg,chjzgpzi@airnk.com,92  Second Road  mekhricircle  Bangalore - 560006,8555637381
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,795,2,1,32.54,/House_Pics/35.jpg,qsunwjbx@kyrnh.com,19  First Avenue  hebbal  Bangalore - 560024,9426604615
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,PrarePa,700,1,1,35,/House_Pics/36.jpg,npeavtjo@yqpwt.com,89  Park Avenue  hebbal  Bangalore - 560024,8284078242
Built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,RMcesa ,1463,1,1,142,/House_Pics/37.jpg,ieuakoox@vvsjp.com,87  Second Road  hebbal  Bangalore - 560024,8730364909
Built-up  Area,Ready To Move,Vijayanagar,3 Bedroom,No Society,1000,3,0,140,/House_Pics/38.jpg,pwakwypg@lmide.com,68  Park Avenue  btm  Bangalore - 560076,9950993357
Super built-up  Area,Ready To Move,Reliable Woods Layout,3 BHK,No Society,1306,2,2,58,/House_Pics/39.jpg,pcruzvzw@znmhl.com,47  Main Street  yelahanka  Bangalore - 560064,8844808196
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,No Society,2401,3,2,185,/House_Pics/40.jpg,xbqobtda@tbhjk.com,92  Park Avenue  btm  Bangalore - 560076,8750043012
Plot  Area,Ready To Move,Bommenahalli,4 Bedroom,Prana S,1670,3,0,135,/House_Pics/41.jpg,frxgterx@ueefr.com,59  Main Street  electroniccity  Bangalore - 560100,9365874393
Built-up  Area,Ready To Move,Jayanagar,3 BHK,Rathira,1875,2,3,235,/House_Pics/42.jpg,gepnbhrw@jcxqg.com,54  Second Road  hebbal  Bangalore - 560024,8268282528
Plot  Area,Ready To Move,Marsur,3 Bedroom,AreraRe,1200,3,1,90,/House_Pics/43.jpg,ybahunxb@uzsgp.com,10  Main Street  mekhricircle  Bangalore - 560006,8071603869
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,No Society,1804,3,2,121,/House_Pics/44.jpg,glymodjp@mkmve.com,31  Second Road  hebbal  Bangalore - 560024,9920028837
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,2065,4,1,210,/House_Pics/45.jpg,qmdoeczz@zhupj.com,10  Second Road  mekhricircle  Bangalore - 560006,8619272302
Super built-up  Area,Ready To Move,Hoskote,3 BHK,Deiveer,1225,3,1,40,/House_Pics/46.jpg,kdfnnrsk@hgsyr.com,4  Park Avenue  btm  Bangalore - 560076,8134621035
Super built-up  Area,18-Nov,Thanisandra,2 BHK,Bhe 2ko,934,2,0,58.68,/House_Pics/47.jpg,lamkioui@mgyuq.com,18  Park Avenue  electroniccity  Bangalore - 560100,8121322169
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Trows M,900,2,2,56,/House_Pics/48.jpg,bumzsekx@aoqqe.com,93  Second Road  btm  Bangalore - 560076,9843683437
Super built-up  Area,19-Dec,Binny Pete,2 BHK,She 2rk,1350,2,1,91,/House_Pics/49.jpg,xxsqagbu@rpytx.com,95  First Avenue  mekhricircle  Bangalore - 560006,8681124485
Super built-up  Area,Ready To Move,Kaggalipura,1 BHK,Baowsig,700,1,0,36,/House_Pics/50.jpg,bzjupomx@sjaia.com,56  Main Street  whitefield  Bangalore - 560066,9409420296
Super built-up  Area,18-Jun,Mysore Road,2 BHK,Gopia O,980,2,0,35.175,/House_Pics/51.jpg,dnqwtqrh@yontu.com,57  Main Street  whitefield  Bangalore - 560066,8843612589
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,No Society,1160,2,1,46.39,/House_Pics/52.jpg,hlxogjnz@mtqks.com,68  Main Street  btm  Bangalore - 560076,8888158176
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,ChionCo,1680,3,0,99.27,/House_Pics/53.jpg,mdbchetk@fmmdm.com,46  Park Avenue  yelahanka  Bangalore - 560064,8338431871
Carpet  Area,Ready To Move,LB Shastri Nagar,2 BHK,CharkR ,1043,2,2,55,/House_Pics/54.jpg,fgbnfqhr@mkgxz.com,51  Elm Street  mekhricircle  Bangalore - 560006,9488985931
Plot  Area,Ready To Move,Hoskote,4 Bedroom,No Society,1200,4,1,120,/House_Pics/55.jpg,siqnjfur@oyqrs.com,63  Park Avenue  electroniccity  Bangalore - 560100,8230644723
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Diaveic,1040,2,2,46,/House_Pics/56.jpg,mfpkkrhj@hblsk.com,55  Main Street  hebbal  Bangalore - 560024,8142377162
Super built-up  Area,Ready To Move,Tindlu,3 BHK,Shmolti,1357,2,2,65,/House_Pics/57.jpg,fjfpojym@kadqz.com,75  Main Street  mekhricircle  Bangalore - 560006,9118088345
Plot  Area,Ready To Move,Nayandanahalli,7 Bedroom,No Society,1600,7,1,104,/House_Pics/58.jpg,usfgbrkr@wmmdw.com,8  Elm Street  hebbal  Bangalore - 560024,9729487801
Super built-up  Area,18-Aug,Vibhutipura Extension,2 BHK,No Society,1225,2,2,47,/House_Pics/59.jpg,qcbjbbkr@jqufw.com,25  Second Road  whitefield  Bangalore - 560066,9038871992
Plot  Area,Ready To Move,Sunkadakatte,9 Bedroom,No Society,1500,6,1,80,/House_Pics/60.jpg,xblifxis@ntdns.com,24  First Avenue  yelahanka  Bangalore - 560064,8652546126
Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,No Society,1130,2,2,40,/House_Pics/61.jpg,cuakkhjk@nhetr.com,50  Second Road  hebbal  Bangalore - 560024,9104850519
Built-up  Area,Ready To Move,Basavangudi,4 Bedroom,No Society,2500,4,1,150,/House_Pics/62.jpg,snzhlzmi@voajo.com,87  First Avenue  mekhricircle  Bangalore - 560006,8235706708
Carpet  Area,Ready To Move,Sultan Palaya,3 BHK,No Society,1700,3,3,120,/House_Pics/63.jpg,kedsrhcm@xfrjp.com,70  First Avenue  yelahanka  Bangalore - 560064,8007106331
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,SKterAs,1549,3,2,65,/House_Pics/64.jpg,yexohxng@eerqg.com,77  Main Street  whitefield  Bangalore - 560066,9213254532
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Goandn ,1400,2,2,100,/House_Pics/65.jpg,fdewgwmm@axznn.com,39  Second Road  btm  Bangalore - 560076,8827319700
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,MavarSa,1080,2,2,50,/House_Pics/66.jpg,ditfthao@tqmmh.com,22  Second Road  btm  Bangalore - 560076,9326077562
Built-up  Area,Ready To Move,Ulsoor,2 BHK,Rilor C,1180,2,2,100,/House_Pics/67.jpg,wkyfwunp@rprgh.com,57  First Avenue  mekhricircle  Bangalore - 560006,8780155419
Plot  Area,Ready To Move,Chandra Layout,7 Bedroom,No Society,780,7,3,150,/House_Pics/68.jpg,ndiwfeqv@xwksv.com,43  Second Road  electroniccity  Bangalore - 560100,8285177429
Super built-up  Area,Ready To Move,Domlur,3 BHK,Saiewas,1800,3,2,150,/House_Pics/69.jpg,wlvdnsxt@cnifk.com,72  Second Road  yelahanka  Bangalore - 560064,9544937079
Super built-up  Area,18-Aug,Haralur Road,2 BHK,SNnia E,1225,2,1,67.38,/House_Pics/70.jpg,qopowygj@ojnrt.com,54  Second Road  mekhricircle  Bangalore - 560006,9614769353
Built-up  Area,Ready To Move,Chandra Layout,1 BHK,No Society,890,1,1,75,/House_Pics/71.jpg,lxpdwhyo@oegym.com,95  First Avenue  whitefield  Bangalore - 560066,9658040122
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,1005,2,1,39.59,/House_Pics/72.jpg,finbilqy@srphj.com,52  Park Avenue  electroniccity  Bangalore - 560100,8127205944
Super built-up  Area,Ready To Move,Whitefield,2 BHK,BrlisCo,1320,2,1,95,/House_Pics/73.jpg,xiueosrt@zjybx.com,54  First Avenue  whitefield  Bangalore - 560066,9699290080
Built-up  Area,Ready To Move,Anandapura,4 BHK,No Society,1475,2,1,50,/House_Pics/74.jpg,cmbijuas@axeny.com,50  Second Road  hebbal  Bangalore - 560024,8256026037
Super built-up  Area,18-Dec,Kudlu Gate,3 BHK,Sanzaat,1564,0,0,99.745,/House_Pics/75.jpg,qhbettrp@jqitj.com,5  First Avenue  electroniccity  Bangalore - 560100,8476603308
Super built-up  Area,Ready To Move,Hagadur,2 BHK,SSoraba,1110,2,2,51,/House_Pics/76.jpg,usasavoc@ovyhe.com,45  Park Avenue  mekhricircle  Bangalore - 560006,9844672818
Plot  Area,18-Apr,Popular Colony,2 Bedroom,No Society,1300,2,0,54,/House_Pics/77.jpg,cxqdyxoy@mjkwj.com,70  Second Road  yelahanka  Bangalore - 560064,9242986695
Plot  Area,Ready To Move,Vajarahalli,5 Bedroom,No Society,600,3,1,86,/House_Pics/78.jpg,efdtwxob@wdmwi.com,26  Elm Street  mekhricircle  Bangalore - 560006,9660814204
Super built-up  Area,18-Aug,Electronic City,2 BHK,Prarkun,1128,2,1,65.35,/House_Pics/79.jpg,fclihbww@kfbbz.com,69  Main Street  electroniccity  Bangalore - 560100,9607358373
Super built-up  Area,22-May,Jakkur,2 BHK,SoineC ,1452,2,1,100,/House_Pics/80.jpg,pwgbfguo@jarru.com,67  Park Avenue  btm  Bangalore - 560076,9635671666
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,No Society,2400,3,2,290,/House_Pics/81.jpg,gydmjdah@siplc.com,84  Main Street  hebbal  Bangalore - 560024,9734852143
Super built-up  Area,18-Jul,Banashankari,3 BHK,Rallse ,2600,4,1,135,/House_Pics/0.jpg,iqklvmvs@zpewt.com,26  First Avenue  yelahanka  Bangalore - 560064,9292445830
Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,Sowerew,2500,4,2,325,/House_Pics/1.jpg,urrgzpft@pjuwt.com,14  Elm Street  btm  Bangalore - 560076,8459581217
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,No Society,630,1,1,35,/House_Pics/2.jpg,lxejbydi@pbxio.com,31  First Avenue  whitefield  Bangalore - 560066,8844189789
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,No Society,1243,2,2,48.5,/House_Pics/3.jpg,tcgyyxfu@cumou.com,75  Park Avenue  yelahanka  Bangalore - 560064,9579863795
Built-up  Area,Ready To Move,Soundarya Layout,2 BHK,Goe 3la,960,2,2,32,/House_Pics/4.jpg,dcobmpvp@rxipr.com,14  Main Street  mekhricircle  Bangalore - 560006,9521192970
Super built-up  Area,Ready To Move,Banashankari 6th Stage  Subramanyapura,3 BHK,No Society,1690,3,2,100,/House_Pics/5.jpg,dvrrvzvo@bvkgq.com,84  Main Street  mekhricircle  Bangalore - 560006,9374761987
Built-up  Area,Ready To Move,Whitefield,2 BHK,JahanSa,735,2,1,35,/House_Pics/6.jpg,dgtcutek@qsklu.com,25  Park Avenue  whitefield  Bangalore - 560066,9196011834
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,No Society,1365,2,2,73,/House_Pics/7.jpg,jqfaxlqr@loytx.com,40  First Avenue  yelahanka  Bangalore - 560064,8124760123
Super built-up  Area,Ready To Move,Rajaji Nagar,5 BHK,Pumesim,2849,5,0,300,/House_Pics/8.jpg,zvzftvft@szimr.com,44  Second Road  whitefield  Bangalore - 560066,9375904722
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Mahosya,1420,2,1,99.39,/House_Pics/9.jpg,wnxywdbx@zxzam.com,90  Second Road  hebbal  Bangalore - 560024,8636049372
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,No Society,1570,3,3,68,/House_Pics/10.jpg,ijiskgda@gsofk.com,56  Main Street  btm  Bangalore - 560076,8868140414
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,850,1,1,32,/House_Pics/11.jpg,lmyytdxs@wuhwb.com,66  Main Street  yelahanka  Bangalore - 560064,9894241371
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1575,2,2,110,/House_Pics/12.jpg,gqgulqso@hizsp.com,4  Main Street  btm  Bangalore - 560076,8156425145
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2,2,104,/House_Pics/13.jpg,bwgprrxu@cpkii.com,10  Second Road  mekhricircle  Bangalore - 560006,8506853746
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,No Society,1050,2,1,42,/House_Pics/14.jpg,zvuenazq@tjhcl.com,33  Main Street  yelahanka  Bangalore - 560064,8067743621
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,GSideS ,1065,2,1,42.6,/House_Pics/15.jpg,rmhnkgyq@wnymo.com,51  Second Road  electroniccity  Bangalore - 560100,9935688832
Built-up  Area,Ready To Move,Ulsoor,3 BHK,No Society,1340,3,0,90,/House_Pics/16.jpg,mxntayye@czoju.com,14  Elm Street  hebbal  Bangalore - 560024,8995345693
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,No Society,1610,3,2,92,/House_Pics/17.jpg,nqiqwmhl@huatu.com,6  Main Street  yelahanka  Bangalore - 560064,9460768259
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1160,2,1,33.5,/House_Pics/18.jpg,bmcpfudl@tzenv.com,90  Main Street  electroniccity  Bangalore - 560100,8240182267
Super built-up  Area,Ready To Move,Kudlu,2 BHK,Srrnasa,1092,2,2,44,/House_Pics/19.jpg,musaevzx@jcypr.com,73  Park Avenue  btm  Bangalore - 560076,9001848715
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194,2,2,47,/House_Pics/20.jpg,sgxeucrg@mkoht.com,33  Elm Street  btm  Bangalore - 560076,9981157435
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Apows M,1455,3,1,61.5,/House_Pics/21.jpg,nrngxwsi@xbnvr.com,29  Second Road  yelahanka  Bangalore - 560064,9101601056
Super built-up  Area,18-Jun,Abbigere,1 BHK,DSestma,734,1,0,19.82,/House_Pics/22.jpg,hjbmlkro@bxmnz.com,80  Park Avenue  whitefield  Bangalore - 560066,9302721709
Built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,799,2,1,38,/House_Pics/23.jpg,jiezdwmi@iccnq.com,48  First Avenue  btm  Bangalore - 560076,9031081405
Built-up  Area,Ready To Move,Whitefield,3 BHK,No Society,1896,3,1,75,/House_Pics/24.jpg,hvtvqnif@folnq.com,84  Park Avenue  whitefield  Bangalore - 560066,8120674489
Super built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100,2,1,48,/House_Pics/25.jpg,wduvxuti@zqgal.com,35  Main Street  electroniccity  Bangalore - 560100,8246630633
Built-up  Area,Ready To Move,Bellandur,2 BHK,No Society,1350,2,1,79,/House_Pics/26.jpg,aebegjvo@ifbfw.com,56  Main Street  hebbal  Bangalore - 560024,9588289469
Super built-up  Area,Ready To Move,Amarjyothi Colony,3 BHK,No Society,1355,3,1,61,/House_Pics/27.jpg,slaaowht@yhdjc.com,15  First Avenue  mekhricircle  Bangalore - 560006,9297577640
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,65,/House_Pics/28.jpg,pxuuwhec@tweas.com,39  Park Avenue  electroniccity  Bangalore - 560100,8837435013
Plot  Area,Ready To Move,Pattanagere,2 Bedroom,No Society,1350,2,0,90,/House_Pics/29.jpg,orxmciqy@osdqt.com,26  Elm Street  mekhricircle  Bangalore - 560006,9991960865
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,Lelia M,3875,3,2,864,/House_Pics/30.jpg,qltyjtrb@lupxn.com,62  Elm Street  mekhricircle  Bangalore - 560006,8350945916
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,No Society,1493,3,2,82,/House_Pics/31.jpg,uqejqmhp@dzcni.com,29  First Avenue  yelahanka  Bangalore - 560064,8737546965
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,MBodsen,1098,2,1,43.91,/House_Pics/32.jpg,mdzpprpm@xfixd.com,8  Park Avenue  yelahanka  Bangalore - 560064,8144005407
Super built-up  Area,Ready To Move,Banashankari,3 BHK,No Society,1900,2,1,170,/House_Pics/33.jpg,bjvagdar@wqgpu.com,98  First Avenue  hebbal  Bangalore - 560024,8815103137
Super built-up  Area,Ready To Move,Dollars Layout,3 BHK,Sancya ,1460,3,2,88,/House_Pics/34.jpg,tjfeaypi@xjtfp.com,99  Second Road  electroniccity  Bangalore - 560100,8449543002
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,No Society,2350,4,3,285,/House_Pics/35.jpg,aeuorsqo@yoren.com,81  Elm Street  hebbal  Bangalore - 560024,9334916767
Plot  Area,Ready To Move,Horamavu Banaswadi,5 Bedroom,No Society,1600,5,3,140,/House_Pics/36.jpg,cdgdzmla@tlehr.com,76  Second Road  yelahanka  Bangalore - 560064,8833311786
Super built-up  Area,Ready To Move,Varthur,2 BHK,Hirio L,1091,2,1,32,/House_Pics/37.jpg,zoomdzui@uwwvo.com,13  Park Avenue  hebbal  Bangalore - 560024,8611709471
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Inurave,1180,2,3,42,/House_Pics/38.jpg,anqiuwsl@tznsj.com,50  Second Road  yelahanka  Bangalore - 560064,9098103133
Super built-up  Area,19-Dec,Kanakpura Road,2 BHK,PrityFa,1366,3,1,76.85,/House_Pics/39.jpg,jltcqlbl@hqhky.com,86  First Avenue  whitefield  Bangalore - 560066,8713490076
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,DSureSi,1685,3,2,95,/House_Pics/40.jpg,zysjthid@uaolv.com,14  Second Road  whitefield  Bangalore - 560066,9127884360
Built-up  Area,Ready To Move,Koramangala,2 BHK,Gencysi,1260,2,3,100,/House_Pics/41.jpg,qrbexopt@ojnet.com,87  Main Street  mekhricircle  Bangalore - 560006,8468715980
Plot  Area,Ready To Move,Whitefield,3 Bedroom,Chpana ,3010,3,2,200,/House_Pics/42.jpg,ipegwgas@gbbmv.com,83  Park Avenue  whitefield  Bangalore - 560066,8313049628
Plot  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,No Society,1330,4,1,140,/House_Pics/43.jpg,vsvallli@mnseo.com,15  Main Street  whitefield  Bangalore - 560066,8892082405
Plot  Area,Ready To Move,Mallasandra,2 Bedroom,No Society,1200,2,0,130,/House_Pics/44.jpg,eeojnfmo@jacla.com,8  Second Road  yelahanka  Bangalore - 560064,9567840401
Super built-up  Area,18-Apr,Whitefield,2 BHK,Prtates,1346,2,1,96.17,/House_Pics/45.jpg,suukkpic@uhiag.com,30  Main Street  whitefield  Bangalore - 560066,9034717766
Super built-up  Area,18-Aug,Chandapura,1 BHK,Dhowsyo,630,1,0,13.86,/House_Pics/46.jpg,ooeporsk@hmxma.com,16  Second Road  btm  Bangalore - 560076,9906616218
Super built-up  Area,19-May,Sarjapur  Road,3 BHK,Klark L,1446,0,0,98.94,/House_Pics/47.jpg,iervxpls@dhyec.com,46  Second Road  whitefield  Bangalore - 560066,9477128553
